province,country,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Gelderland,Netherlands,9126.0,692.0,0.0,8434.0,437.4980824103335,7.582730659653738
Groningen,Netherlands,1011.0,19.0,0.0,992.0,172.5650575387546,1.8793273986152326
Limburg,Netherlands,5990.0,760.0,0.0,5230.0,536.1613532390322,12.687813021702837
Noord-Brabant,Netherlands,14278.0,1552.0,0.0,12726.0,557.0913262230512,10.869869729654013
Noord-Holland,Netherlands,18087.0,840.0,0.0,17247.0,628.1239939753995,4.644219605241333
Overijssel,Netherlands,4041.0,314.0,0.0,3727.0,347.6410135529238,7.770353872803762
Sint Maarten,Netherlands,584.0,20.0,488.0,76.0,1361.876778135348,3.4246575342465753
Unknown,Netherlands,792.0,18.0,0.0,774.0,,2.272727272727273
Utrecht,Netherlands,7260.0,437.0,0.0,6823.0,535.8590056051147,6.019283746556474
Zeeland,Netherlands,1210.0,72.0,0.0,1138.0,315.5248664886515,5.950413223140496
Zuid-Holland,Netherlands,26644.0,1364.0,0.0,25280.0,718.4196278152752,5.119351448731422
,New Zealand,1815.0,25.0,1719.0,71.0,37.638164725760866,1.3774104683195594
,Nicaragua,4961.0,147.0,2913.0,1901.0,74.88806038866919,2.9631122757508566
,Niger,1183.0,69.0,1104.0,10.0,4.887089639386488,5.832628909551986
,Nigeria,57145.0,1095.0,48431.0,7619.0,27.72150698060727,1.9161781433196257
,North Macedonia,16557.0,689.0,13792.0,2076.0,794.7181983123578,4.161381892854986
,Norway,12858.0,267.0,10371.0,2220.0,237.178122651599,2.0765282314512366
,Oman,91753.0,818.0,84648.0,6287.0,1796.7454806719586,0.8915239828670452
Azad Jammu and Kashmir,Pakistan,2517.0,67.0,2257.0,193.0,62.21933936261885,2.6618990862137464
Balochistan,Pakistan,14269.0,145.0,12969.0,1155.0,115.59080030407291,1.0161889410610414
Gilgit-Baltistan,Pakistan,3450.0,81.0,3036.0,333.0,340.37632796097813,2.3478260869565215
Islamabad,Pakistan,16124.0,180.0,15529.0,415.0,803.5595034715924,1.116348300669809
Khyber Pakhtunkhwa,Pakistan,37317.0,1258.0,35500.0,559.0,122.25713863648943,3.371117721145858
Punjab,Pakistan,98368.0,2226.0,94773.0,1369.0,89.41534085753682,2.2629310344827585
Sindh,Pakistan,133626.0,2459.0,128239.0,2928.0,279.04994713387407,1.8402107374313383
,Panama,105601.0,2247.0,80190.0,23164.0,2447.431704323384,2.1278207592731126
